MSOA11CD,year,income,imd,oa,pop,unem,edu,mig
E02000156,2021,43500,0.041,0,12292,2.1,39.7,7.1
E02000157,2011,36500,0.034,0,6905,2.4,33.7,13.8
E02000157,2021,44900,0.027,0,8367,2.3,42.6,7.2
E02000158,2011,31807,0.17,0,12094,4.6,26.1,10.2
E02000158,2021,41900,0.12,0,7788,3.3,36.8,7.2
E02000159,2011,34936,0.05,0,7964,2.5,31.6,13.4
E02000159,2021,43300,0.041,0,7117,2.4,36.4,7.2
E02000160,2011,35457,0.054,0,7364,3,31.2,15.8
E02000160,2021,43800,0.039,0,8108,2.7,37.9,6.9
E02000161,2011,35457,0.046,0,6812,2.6,33.2,18.5
E02000161,2021,44100,0.034,0,8702,2.3,42.7,7.2
E02000162,2011,31286,0.099,0,7856,3.1,26.8,11.8
E02000162,2021,37100,0.086,0,7121,2.8,34.1,8.2
E02000163,2011,37021,0.065,0,8410,2.6,33.1,12.8
E02000163,2021,41700,0.061,0,7716,2,40.4,7.5
E02000165,2011,32850,0.064,0,6693,3.3,22.3,13.3
E02000165,2021,39900,0.059,0,7172,2.2,26.8,6.7
E02000166,2011,38586,0.189,0,7650,4.6,54.3,24.6
E02000166,2021,46100,0.149,0,7745,4.1,59.4,10.9
E02000167,2011,52143,0.057,0,7045,2.5,68.3,34.8
E02000167,2021,59200,0.04,0,7198,2.5,75.2,17.4
E02000168,2011,41714,0.168,0,7924,4.1,57.9,27.8
E02000168,2021,48200,0.114,0,7813,3.6,64.1,14.6
E02000169,2011,45364,0.064,0,7944,2.5,58.6,36.6
E02000169,2021,62400,0.038,0,7177,2.6,70.1,16.5
E02000170,2011,45886,0.117,0,8172,3.9,60.9,38.7
E02000170,2021,52700,0.093,0,7916,3.2,66.8,18
E02000171,2011,42757,0.142,0,7637,4.3,59,30.1
E02000171,2021,55000,0.111,0,7393,3.7,65.5,14.6
E02000172,2011,29200,0.308,0,8338,6,37,36.1
E02000172,2021,42100,0.219,0,9997,5,44.7,14.1
E02000173,2011,51100,0.095,0,7818,3.1,67.1,39.4
E02000173,2021,57600,0.06,0,7493,3.1,73.5,20.2
E02000174,2011,35457,0.235,0,10147,4.8,52.2,24.6
E02000174,2021,42600,0.165,0,8086,4.1,55.2,14.6
E02000175,2011,43800,0.145,0,7675,4.2,62.3,47.4
E02000175,2021,51500,0.099,0,9082,3.6,66.5,22
E02000176,2011,50579,0.067,0,8714,2.8,69.2,25.8
E02000176,2021,55800,0.047,0,5914,2.6,74.9,19.3
E02000177,2011,32850,0.281,0,8848,5.8,42.5,29.3
E02000177,2021,41100,0.197,0,8488,4.7,49.5,14.6
E02000178,2011,34936,0.217,0,6373,5.4,49.1,54.2
E02000178,2021,40900,0.195,0,8903,4.4,56,20
E02000179,2011,40671,0.194,0,8948,4.9,54.4,23
E02000179,2021,49400,0.129,0,5748,3.6,62.2,13.5
E02000180,2011,32850,0.222,0,8857,4.7,47.4,40.7
E02000180,2021,44200,0.162,0,7879,4.9,55.5,17.6
E02000181,2011,49014,0.116,0,6329,3,67.8,50.3
E02000181,2021,60100,0.097,0,8076,3.3,73.1,20.6
E02000182,2011,39629,0.162,0,8202,4.1,53.3,28.2
E02000182,2021,49300,0.1,0,7120,3.4,62.4,18.8
E02000183,2011,41193,0.149,0,7708,3.4,57.8,29.7
E02000183,2021,50500,0.127,1,7591,3.3,62.8,15.9
E02000184,2011,29200,0.276,1,6697,5.8,38.5,51.1
E02000184,2021,40800,0.208,1,8908,5,47.6,23
E02000185,2011,31286,0.299,0,7913,6.5,41,32.8
E02000185,2021,37900,0.232,0,8882,5.3,45.7,14.7
E02000186,2011,34936,0.176,0,8882,4.2,51.4,32
E02000186,2021,46100,0.148,1,6223,4,56.1,22.9
E02000187,2011,24507,0.341,1,8290,6,25.1,28.4
E02000187,2021,37800,0.242,1,9783,5.1,41.4,15.4
E02000188,2011,25550,0.279,0,6687,5.6,26.6,48.5
E02000188,2021,37200,0.22,1,7180,5.4,38.4,16.5
E02000191,2011,34414,0.091,1,8155,2.2,43.8,66.6
E02000191,2021,47800,0.074,1,5337,2.1,48.6,40
E02000192,2011,33893,0.247,0,8322,5.7,44.9,24
E02000192,2021,43000,0.178,0,6659,4.9,51.9,14
E02000193,2011,39107,0.132,1,5944,3.6,51.8,57
E02000193,2021,44500,0.091,1,5961,3.5,58.3,23.4
E02000194,2011,35979,0.185,0,7530,6.5,43.3,30.2
E02000194,2021,39400,0.147,0,9211,4.2,53.6,12.7
E02000195,2011,34414,0.13,0,7497,4.6,36.4,22.6
E02000195,2021,43600,0.094,0,9649,4,45.5,7.5
E02000196,2011,30243,0.214,0,7157,6.3,31.1,19.5
E02000196,2021,41800,0.146,0,7914,4.4,40.2,9.8
E02000197,2011,30243,0.195,0,7630,5.4,32.3,25.1
E02000197,2021,41100,0.126,0,9025,4.5,41.2,8.8
E02000198,2011,28157,0.222,0,8696,7.3,28.2,20.8
E02000198,2021,38500,0.187,0,8888,6,37,10.2
E02000199,2011,30764,0.176,0,9152,7.1,30.2,17.3
E02000199,2021,42200,0.132,0,8414,4.8,40.9,8.9
E02000200,2011,31807,0.185,0,7403,7.5,34.3,28.8
E02000200,2021,38700,0.148,0,9049,4.4,48.4,11.7
E02000201,2011,28157,0.255,0,9094,8.6,28.8,20.6
E02000201,2021,33300,0.204,0,8692,5.8,40.8,9.2
E02000202,2011,29200,0.153,0,8070,6,29.2,21.1
E02000202,2021,41100,0.129,0,8929,4.7,36.8,9.2
E02000203,2011,28157,0.214,0,8430,6.6,28.6,20.7
E02000203,2021,34500,0.186,0,7965,4.7,36.3,10.1
E02000204,2011,29200,0.167,0,8294,5.9,28.2,24.2
E02000204,2021,39400,0.14,0,9656,5.2,36.5,9.1
E02000206,2011,28157,0.243,0,8281,7.9,27.8,29.7
E02000206,2021,34400,0.205,1,10818,6,37.4,10.5
E02000207,2011,29200,0.245,0,8548,7.5,26.9,19.6
E02000207,2021,37300,0.177,0,8902,5.4,37.2,9
E02000208,2011,24507,0.265,0,7539,6.8,27.7,38.1
E02000208,2021,33900,0.235,0,10863,5.1,37.6,11.6
E02000209,2011,27636,0.199,0,9407,6.2,25.6,18.8
E02000209,2021,39700,0.163,0,9067,3.8,35.1,8.1
E02000210,2011,33371,0.148,0,9539,5.6,31,16.6
E02000210,2021,42600,0.124,0,8713,3.7,41.1,9.2
E02000211,2011,33893,0.082,0,8999,3.6,27.8,11.2
E02000211,2021,42800,0.066,0,8273,2.9,35.9,7.1
E02000212,2011,26071,0.23,0,9790,6.4,26,21.1
E02000212,2021,34400,0.179,1,9461,5.2,32.5,9.6
E02000213,2011,27636,0.258,0,8414,7.8,31.5,33.9
E02000213,2021,34600,0.226,1,12798,5.9,40.1,13.7
E02000214,2011,35457,0.083,0,8310,3.7,32.9,12
E02000214,2021,46300,0.066,0,6236,3.3,43.6,7.3
E02000215,2011,34936,0.157,0,8000,5.6,41.5,42
E02000215,2021,38400,0.138,1,11826,4.1,46,13.8
E02000216,2011,42236,0.075,0,8523,4.1,54.3,20.6
E02000216,2021,43900,0.076,1,7162,3.7,56.6,11.9
E02000217,2011,31807,0.208,0,9551,5.9,33,27.8
E02000217,2021,36800,0.154,1,11925,4.5,41.7,11.4
E02000218,2011,30243,0.233,0,6236,5.8,25.3,14.3
E02000218,2021,39300,0.172,0,6671,4.7,33.7,6
E02000219,2011,35979,0.058,0,10518,2.9,33,9.7
E02000219,2021,42400,0.062,0,7631,2.3,39.7,6.4
E02000221,2011,30243,0.229,0,6738,5.4,28.1,26.3
E02000221,2021,37100,0.178,0,10857,5.1,37.8,8.4
E02000222,2011,38064,0.106,0,9688,4.5,43.8,21.7
E02000222,2021,42200,0.083,0,8350,3.6,50.6,11.4
E02000223,2011,23986,0.38,0,6640,9.1,12.8,20.3
E02000223,2021,30600,0.276,0,8530,5.4,25.3,3.7
E02000224,2011,36500,0.099,0,7686,4.7,37.7,22.9
E02000224,2021,41400,0.086,0,8053,3.7,46.8,9.4
E02000225,2011,25550,0.247,0,9881,6.4,13.8,8.7
E02000225,2021,31900,0.198,0,7499,4.1,24.6,4.9
E02000226,2011,35979,0.044,0,9820,3,34.2,11.8
E02000226,2021,45000,0.048,0,7615,2.5,40.5,7.7
E02000227,2011,31286,0.128,0,7891,4,25.4,21.1
E02000227,2021,39100,0.115,0,11680,3.3,32.6,7.2
E02000228,2011,39629,0.037,0,8371,2.6,42.3,14.2
E02000228,2021,44600,0.032,0,7956,2.1,49.6,7.2
E02000229,2011,24507,0.326,0,7684,7.6,11.1,11.9
E02000229,2021,29600,0.242,0,6235,4.1,24.3,5.2
E02000230,2011,37021,0.101,0,7535,3.6,40.8,25.7
E02000230,2021,41400,0.087,0,10502,3.1,49.4,10.6
E02000231,2011,37543,0.058,0,7539,3,42.9,17.9
E02000231,2021,46800,0.044,0,7930,2.4,52.5,10.2
E02000232,2011,33371,0.095,0,11411,3.3,26.7,7.9
